uri,normalized,hisco_category,provenance
,boer,https://iisg.amsterdam/resource/hisco/code/hisco/61110,jaikwil
,boetseerder,https://iisg.amsterdam/resource/hisco/code/hisco/75465,jaikwil
,bogetmaker,https://iisg.amsterdam/resource/hisco/code/hisco/81990,jaikwil
,bokkingroker,https://iisg.amsterdam/resource/hisco/code/hisco/77460,jaikwil
,boksenmaker,https://iisg.amsterdam/resource/hisco/code/hisco/79100,jaikwil
,boksenmakersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/79100,jaikwil
,bombazijnbereider,https://iisg.amsterdam/resource/hisco/code/hisco/75432,jaikwil
,bombazijnverver,https://iisg.amsterdam/resource/hisco/code/hisco/75625,jaikwil
,bombazijnwercker,https://iisg.amsterdam/resource/hisco/code/hisco/75432,jaikwil
,bombazijnwerker,https://iisg.amsterdam/resource/hisco/code/hisco/75432,jaikwil
,bombazijnwerkersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/75432,jaikwil
,bonnetmaker,https://iisg.amsterdam/resource/hisco/code/hisco/79310,jaikwil
,bontwerker,https://iisg.amsterdam/resource/hisco/code/hisco/79200,jaikwil
,Bontwerker,https://iisg.amsterdam/resource/hisco/code/hisco/79200,jaikwil
,bontwerkersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/79200,jaikwil
,boomkweker,https://iisg.amsterdam/resource/hisco/code/hisco/61230,jaikwil
,boommaker,https://iisg.amsterdam/resource/hisco/code/hisco/81925,jaikwil
,boomsluiter,https://iisg.amsterdam/resource/hisco/code/hisco/97355,jaikwil
,boorder,https://iisg.amsterdam/resource/hisco/code/hisco/83450,jaikwil
,boormaker,https://iisg.amsterdam/resource/hisco/code/hisco/71300,jaikwil
,boormakersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/71300,jaikwil
,bootsgezel,https://iisg.amsterdam/resource/hisco/code/hisco/98120,jaikwil
,bootsman,https://iisg.amsterdam/resource/hisco/code/hisco/98120,jaikwil
,boratverver,https://iisg.amsterdam/resource/hisco/code/hisco/75000,jaikwil
,boratverver,https://iisg.amsterdam/resource/hisco/code/hisco/75622,jaikwil
,boratwerker,https://iisg.amsterdam/resource/hisco/code/hisco/75000,jaikwil
,boratwerker,https://iisg.amsterdam/resource/hisco/code/hisco/75220,jaikwil
,boratwever,https://iisg.amsterdam/resource/hisco/code/hisco/75000,jaikwil
,borduurwerker,https://iisg.amsterdam/resource/hisco/code/hisco/79565,jaikwil
,borduurwerkersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/79565,jaikwil
,borstelmaker,https://iisg.amsterdam/resource/hisco/code/hisco/94230,jaikwil
,bosschieter,https://iisg.amsterdam/resource/hisco/code/hisco/58340,jaikwil
,boterkoper,https://iisg.amsterdam/resource/hisco/code/hisco/42220,jaikwil
,boterverkoper,https://iisg.amsterdam/resource/hisco/code/hisco/45125,jaikwil
,boutwerker,https://iisg.amsterdam/resource/hisco/code/hisco/79200,jaikwil
,bouwman,https://iisg.amsterdam/resource/hisco/code/hisco/61110,jaikwil
,bouwmeester,https://iisg.amsterdam/resource/hisco/code/hisco/2000,jaikwil
,boxmaker,https://iisg.amsterdam/resource/hisco/code/hisco/81208,jaikwil
,brandemmermaker,https://iisg.amsterdam/resource/hisco/code/hisco/58100,jaikwil
,brander,https://iisg.amsterdam/resource/hisco/code/hisco/96930,jaikwil
,Brander,https://iisg.amsterdam/resource/hisco/code/hisco/96930,jaikwil
,brander van de wijn- en olievaten,https://iisg.amsterdam/resource/hisco/code/hisco/96930,jaikwil
,brandersknecht,https://iisg.amsterdam/resource/hisco/code/hisco/96930,jaikwil
,brandewijnbrander,https://iisg.amsterdam/resource/hisco/code/hisco/96930,jaikwil
,Brandewijnbrander,https://iisg.amsterdam/resource/hisco/code/hisco/96930,jaikwil
,brandewijndestilleerder,https://iisg.amsterdam/resource/hisco/code/hisco/96930,jaikwil
,brandewijnkoper,https://iisg.amsterdam/resource/hisco/code/hisco/77850,jaikwil
,brandewijnverkoper,https://iisg.amsterdam/resource/hisco/code/hisco/41030,jaikwil
,breukmeester,https://iisg.amsterdam/resource/hisco/code/hisco/6120,jaikwil
,breuksnijder,https://iisg.amsterdam/resource/hisco/code/hisco/6100,jaikwil
,brievenbesteller,https://iisg.amsterdam/resource/hisco/code/hisco/37030,jaikwil
,brillenmaker,https://iisg.amsterdam/resource/hisco/code/hisco/89160,jaikwil
,brillenmakersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/89160,jaikwil
,brillenslijper,https://iisg.amsterdam/resource/hisco/code/hisco/89160,jaikwil
,brillenverkoper,https://iisg.amsterdam/resource/hisco/code/hisco/89160,jaikwil
,brokaatwerker,https://iisg.amsterdam/resource/hisco/code/hisco/75625,jaikwil
,broodbakker,https://iisg.amsterdam/resource/hisco/code/hisco/77620,jaikwil
