uri,label,sameAs_tgn,sameAs_geonames,sameAs_ecartico,provenance
,Beverwijk,,http://sws.geonames.org/2758998/,http://www.vondel.humanities.uva.nl/ecartico/places/52,ga
,Bielefeld,,http://sws.geonames.org/2949186/,http://www.vondel.humanities.uva.nl/ecartico/places/54,ga
,Blesdijke,,,http://www.vondel.humanities.uva.nl/ecartico/places/1309,ga
,Blexen,,,http://www.vondel.humanities.uva.nl/ecartico/places/1573,ga
,Blexersande,,,http://www.vondel.humanities.uva.nl/ecartico/places/3070,ga
,Blija,,http://sws.geonames.org/2758820/,http://www.vondel.humanities.uva.nl/ecartico/places/943,ga
,Blokzijl,,,http://www.vondel.humanities.uva.nl/ecartico/places/1055,ga
,Bocholt,,,http://www.vondel.humanities.uva.nl/ecartico/places/1010,ga
,Bodegraven,,http://sws.geonames.org/2758765/,http://www.vondel.humanities.uva.nl/ecartico/places/60,ga
,Bolsward,,http://sws.geonames.org/2758682/,http://www.vondel.humanities.uva.nl/ecartico/places/63,ga
,Bonn,,http://sws.geonames.org/2946447/,http://www.vondel.humanities.uva.nl/ecartico/places/720,ga
,Borculo,,http://sws.geonames.org/2758626/,http://www.vondel.humanities.uva.nl/ecartico/places/65,ga
,Bordeaux,,http://sws.geonames.org/3031582/,http://www.vondel.humanities.uva.nl/ecartico/places/66,ga
,Borken,,,http://www.vondel.humanities.uva.nl/ecartico/places/1359,ga
,Borkum,,,http://www.vondel.humanities.uva.nl/ecartico/places/1048,ga
,Bornholm,,http://sws.geonames.org/2623664/,http://www.vondel.humanities.uva.nl/ecartico/places/3085,ga
,Boulogne-sur-Mer,,,http://www.vondel.humanities.uva.nl/ecartico/places/1727,ga
,Braunschweig,,http://sws.geonames.org/2945024/,http://www.vondel.humanities.uva.nl/ecartico/places/74,ga
,Brazilië,,,http://www.vondel.humanities.uva.nl/ecartico/places/75,ga
,Breda,,http://sws.geonames.org/2758401/,http://www.vondel.humanities.uva.nl/ecartico/places/76,ga
,Bredevoort,,http://sws.geonames.org/2758393/,http://www.vondel.humanities.uva.nl/ecartico/places/597,ga
,Bredstedt,,,http://www.vondel.humanities.uva.nl/ecartico/places/1211,ga
,Bree,,,http://www.vondel.humanities.uva.nl/ecartico/places/982,ga
,Bremen,,http://sws.geonames.org/2944388/,http://www.vondel.humanities.uva.nl/ecartico/places/77,ga
,Bremerland,,,http://www.vondel.humanities.uva.nl/ecartico/places/1330,ga
,Breslau (Wrocław),,,http://www.vondel.humanities.uva.nl/ecartico/places/79,ga
,Breukelen,,http://sws.geonames.org/2758333/,http://www.vondel.humanities.uva.nl/ecartico/places/838,ga
,Brielle,,,http://www.vondel.humanities.uva.nl/ecartico/places/98,ga
,Brouwershaven,,http://sws.geonames.org/2758213/,http://www.vondel.humanities.uva.nl/ecartico/places/900,ga
,Brugge,,http://sws.geonames.org/2800931/,http://www.vondel.humanities.uva.nl/ecartico/places/82,ga
,Bruinisse,,http://sws.geonames.org/2758186/,http://www.vondel.humanities.uva.nl/ecartico/places/1609,ga
,Brummen,,http://sws.geonames.org/2758177/,http://www.vondel.humanities.uva.nl/ecartico/places/1700,ga
,Brunsbüttel,,,http://www.vondel.humanities.uva.nl/ecartico/places/1053,ga
,Brussel,,http://sws.geonames.org/2800866/,http://www.vondel.humanities.uva.nl/ecartico/places/83,ga
,Büderich (Werl),,,http://www.vondel.humanities.uva.nl/ecartico/places/3061,ga
,Büderich (Wesel),,,http://www.vondel.humanities.uva.nl/ecartico/places/3060,ga
,Buiksloot,,http://sws.geonames.org/2758159/,http://www.vondel.humanities.uva.nl/ecartico/places/591,ga
,Bunde (Oost-Friesland),,,http://www.vondel.humanities.uva.nl/ecartico/places/1932,ga
,Bunschoten,,http://sws.geonames.org/2758104/,http://www.vondel.humanities.uva.nl/ecartico/places/804,ga
,Butjadingen,,,http://www.vondel.humanities.uva.nl/ecartico/places/2077,ga
,Cloppenburg,,http://sws.geonames.org/2939969/,http://www.vondel.humanities.uva.nl/ecartico/places/1177,ga
,Coesfeld,,,http://www.vondel.humanities.uva.nl/ecartico/places/1144,ga
,Coevorden,,http://sws.geonames.org/2757937/,http://www.vondel.humanities.uva.nl/ecartico/places/1116,ga
,Culemborg,,,http://www.vondel.humanities.uva.nl/ecartico/places/92,ga
,Danzig (Gdańsk),,,http://www.vondel.humanities.uva.nl/ecartico/places/94,ga
,Darmstadt,,http://sws.geonames.org/2938913/,http://www.vondel.humanities.uva.nl/ecartico/places/95,ga
,De Overtoom,,,http://www.vondel.humanities.uva.nl/ecartico/places/1175,ga
,De Zijpe,,,http://www.vondel.humanities.uva.nl/ecartico/places/1723,ga
,Delden,,,http://www.vondel.humanities.uva.nl/ecartico/places/1072,ga
,Delfshaven,,http://sws.geonames.org/2757347/,http://www.vondel.humanities.uva.nl/ecartico/places/96,ga
,Delft,,http://sws.geonames.org/2757345/,http://www.vondel.humanities.uva.nl/ecartico/places/97,ga
,Delfzijl,,http://sws.geonames.org/2757340/,http://www.vondel.humanities.uva.nl/ecartico/places/929,ga
,Delmenhorst,,http://sws.geonames.org/2938323/,http://www.vondel.humanities.uva.nl/ecartico/places/1165,ga
,Demerary,,,http://www.vondel.humanities.uva.nl/ecartico/places/3103,ga
,Demmerik,,,http://www.vondel.humanities.uva.nl/ecartico/places/3104,ga
,Den Haag,,,http://www.vondel.humanities.uva.nl/ecartico/places/100,ga
,Den Helder,,,http://www.vondel.humanities.uva.nl/ecartico/places/1079,ga
,Dendermonde,,http://sws.geonames.org/2799645/,http://www.vondel.humanities.uva.nl/ecartico/places/101,ga
,Denekamp,,http://sws.geonames.org/2757232/,http://www.vondel.humanities.uva.nl/ecartico/places/102,ga
,Denemarken,,,http://www.vondel.humanities.uva.nl/ecartico/places/103,ga
,Detmold,,http://sws.geonames.org/2937936/,http://www.vondel.humanities.uva.nl/ecartico/places/1651,ga
,Deventer,,,http://www.vondel.humanities.uva.nl/ecartico/places/105,ga
,Diemen,,http://sws.geonames.org/2756888/,http://www.vondel.humanities.uva.nl/ecartico/places/108,ga
,Diepenheim,,http://sws.geonames.org/2756878/,http://www.vondel.humanities.uva.nl/ecartico/places/1847,ga
,Diepenveen,,,http://www.vondel.humanities.uva.nl/ecartico/places/2424,ga
,Diepholz,,,http://www.vondel.humanities.uva.nl/ecartico/places/1571,ga
,Dieppe,,http://sws.geonames.org/3021411/,http://www.vondel.humanities.uva.nl/ecartico/places/109,ga
,Dijon,,http://sws.geonames.org/3021372/,http://www.vondel.humanities.uva.nl/ecartico/places/111,ga
,Diksmuide,,,http://www.vondel.humanities.uva.nl/ecartico/places/112,ga
,Dithmarschen,,,http://www.vondel.humanities.uva.nl/ecartico/places/952,ga
,Dodewaard,,,http://www.vondel.humanities.uva.nl/ecartico/places/2427,ga
,Doesburg,,http://sws.geonames.org/2756772/,http://www.vondel.humanities.uva.nl/ecartico/places/786,ga
,Doetinchem,,http://sws.geonames.org/2756767/,http://www.vondel.humanities.uva.nl/ecartico/places/115,ga
,Dokkum,,,http://www.vondel.humanities.uva.nl/ecartico/places/116,ga
,Dongeradeel,,,http://www.vondel.humanities.uva.nl/ecartico/places/1335,ga
,Doornik,,http://sws.geonames.org/2785341/,http://www.vondel.humanities.uva.nl/ecartico/places/117,ga
,Dordrecht,,http://sws.geonames.org/2756669/,http://www.vondel.humanities.uva.nl/ecartico/places/118,ga
